"feature","importance","type"
"holiday",-3508.78914780193,"LOCO"
"hum",59406.4152942305,"LOCO"
"mnth",15357.425504006,"LOCO"
"season",41376.8316844534,"LOCO"
"temp",215437.070339046,"LOCO"
"weathersit",36012.3222438226,"LOCO"
"weekday",1498.89077139756,"LOCO"
"windspeed",19367.2633219674,"LOCO"
"workingday",-3085.30042425892,"LOCO"
"yr",993119.220620873,"LOCO"
"holiday",6589.7353960718,"LOCI"
"hum",-739301.571997066,"LOCI"
"mnth",1436904.14538465,"LOCI"
"season",1314977.12478767,"LOCI"
"temp",1195298.32342027,"LOCI"
"weathersit",356758.612165849,"LOCI"
"weekday",-54228.7969898633,"LOCI"
"windspeed",-719321.680468217,"LOCI"
"workingday",6583.34081127634,"LOCI"
"yr",1187959.11643247,"LOCI"
