feature,importance,type
season,312278.11709425395,PFI
yr,2115010.9330224055,PFI
mnth,137376.4121656437,PFI
holiday,0.0,PFI
weekday,28028.76967113419,PFI
workingday,1188.0800949074328,PFI
weathersit,10187.490498175614,PFI
temp,2732171.2036292376,PFI
hum,293676.9031497835,PFI
windspeed,55929.309404353146,PFI
season,119888.39095828426,CFI
yr,1923506.6184083628,CFI
mnth,47345.105762982275,CFI
holiday,0.0,CFI
weekday,55016.204678237205,CFI
workingday,14834.84722767165,CFI
weathersit,4792.595358469173,CFI
temp,1871174.9993188896,CFI
hum,175109.7787016519,CFI
windspeed,62822.970541442395,CFI
